"filename", "language", "GLSL", "C++", "CMake", "Objective-C++", "XML", "YAML", "Markdown", "Makefile", "HTML", "Shell Script", "C", "Groovy", "comment", "blank", "total"
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\apps\main\main.cpp", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 35
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\KHR\KHR.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\KHR\khrplatform.h", "C++", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 30, 312
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glad\glad.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1474, 0, 25, 47, 1546
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glad\glad.h", "C++", 0, 3166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 17, 3203
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\CMakeLists.txt", "CMake", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 70
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\common.hpp", "C++", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 389, 54, 540
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\_features.hpp", "C++", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 100, 395
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\_fixes.hpp", "C++", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 28
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\_noise.hpp", "C++", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 82
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\_swizzle.hpp", "C++", 0, 704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 46, 805
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\_swizzle_func.hpp", "C++", 0, 648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 683
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\_vectorize.hpp", "C++", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 163
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\compute_common.hpp", "C++", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 51
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\compute_vector_decl.hpp", "C++", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 191
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\compute_vector_relational.hpp", "C++", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 31
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\func_common.inl", "C++", 0, 638, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 112, 793
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\func_common_simd.inl", "C++", 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 23, 232
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\func_exponential.inl", "C++", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 153
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\func_exponential_simd.inl", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 38
"c:\Users\benji\WorkSpace\Cpp\physics_simulation\src\external_libs\glm\detail\func_geometric.inl", "C++", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 34, 244
